"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","lon","lat"
"RT @DrRonHolt: Today is #HumanRightsDay.  

#LGBT rights are human rights and human rights are #LGBT rights. https://t.co/dLbxdc0dum",29,FALSE,FALSE,807674495129583616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:00 +0000 2016",NA,NA,"en",19,FALSE,"Hope, England",16887579,"@BOVTS Stage Management Graduate. Lover of film photography.",TRUE,"Tue Oct 21 15:22:57 +0000 2008",6462,475,426,FALSE,NA,"Laura Eastwood","London","en",0,499,"lauraeastw",-1.753352,53.3615654
"RT @SeneddCLA: We scrutinise all Bills introduced to the Assembly for compatibility with the #ECHR. #HumanRightsDay https://t.co/jTh3YpG5Qb",2,FALSE,FALSE,807674495779635200,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Dec 10 19:53:00 +0000 2016",NA,NA,"en",19,FALSE,"Cardiff Bay",595482306,"Director of Policy, Legislation and Innovation at Office of Future Generations Commissioner - Honorary Consul of France in Wales and  MD of Your Legal Eyes",TRUE,"Thu May 31 11:17:49 +0000 2012",3191,1185,1249,FALSE,"http://www.yourlegaleyes.co.uk","Marie B- Navarro","Pacific Time (US & Canada)","en",-28800,740,"MarieBNavarro",-3.1693551,51.453877
"RT @KamalaHarris: Women<U+0092>s rights.
LGBT rights.
Indigenous rights.
Immigration rights.
On #HumanRightsDay, let<U+0092>s re-dedicate ourselves to fi<U+0085>",326,FALSE,FALSE,807674496186548224,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:00 +0000 2016",NA,NA,"en",7,FALSE,"KY",49348606,"Academic librarian interested in higher education, LGBT issues, and good music.",FALSE,"Sun Jun 21 16:01:10 +0000 2009",595,135,715,FALSE,NA,"Sarah Richardson","Eastern Time (US & Canada)","en",-18000,280,"sjgrichardson",-84.2700179,37.8393332
"RT @UN: Saturday is #HumanRightsDay Follow @UNHumanRights &amp; #StandUp4HumanRights today &amp; every day! https://t.co/x2BGxz7wIb https://t.co/NL<U+0085>",873,FALSE,FALSE,807674497109258240,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:00 +0000 2016",NA,NA,"en",1,FALSE,"Centre, Cameroon",823061678,"United Nations Information Centre, Yaounde",FALSE,"Fri Sep 14 10:29:48 +0000 2012",139,47,6,FALSE,NA,"Jean Njita",NA,"en",NA,137,"Ndarite",11.7068294,4.6298411
"RT @UNHumanRights: Dec 10 is #HumanRightsDay. Let's #StandUp4HumanRights - for greater freedoms, stronger respect &amp; more compassion https:/<U+0085>",1422,FALSE,FALSE,807674501093691392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:01 +0000 2016",NA,NA,"en",2,FALSE,"Usually Redlands, CA",798063914,"Retired since around 2000 and riding bicycle, gardening and walking around...Love those Baha'is!",TRUE,"Sun Sep 02 11:23:04 +0000 2012",707,24,221,FALSE,"http://www.bahai.org/","Arthur Gregory",NA,"en",NA,98,"arthra9",NA,NA
"RT @BMine1: Happening n #Bahrain 
#HumanRightsDay https://t.co/VueEOlHQTO",18,FALSE,FALSE,807674502452748288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Dec 10 19:53:01 +0000 2016",NA,NA,"en",8,FALSE,"Lebanon",1642292095,"<U+0645><U+062F><U+064A><U+0631> <U+062A><U+062D><U+0631><U+064A><U+0631> <U+0641><U+064A> <U+062C><U+0631><U+064A><U+062F><U+0629> <U+0627><U+0644><U+0633><U+0641><U+064A><U+0631>                International & Arabic Desk @Assafir RT# Endorsement https://t.co/9RCyfOSeuQ",FALSE,"Sat Aug 03 07:10:11 +0000 2013",6540,1897,5041,FALSE,"http://assafir.com","Khalil Harb","Baghdad","en",10800,1094,"khalilassafir",35.862285,33.854721
"RT @AdamNabeel: In #HumanRightsDay My thoughts are with My Father #NabeelRajab who spent the last 6 months alone in a cell bcz of h<U+0085>",35,FALSE,FALSE,807674504457711616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"en",8,FALSE,"USA",464279604,NA,FALSE,"Sun Jan 15 02:08:49 +0000 2012",20937,412,4,FALSE,NA,"Dr. Basel Naser","Arizona","en",-25200,421,"DrBaselNaser",-95.712891,37.09024
"RT @MemonTanzeel: There is no #HumanRightsDay for Kashmir where many of innocents killed on daily  basis #OccupiedKashmir 
@mariaItarana @g<U+0085>",2,FALSE,FALSE,807674505086779392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"en",4,FALSE,"United Arab Emirates",3362745432,"Ex CHAIRMAN PYO GULF",TRUE,"Thu Aug 27 19:52:20 +0000 2015",2054,1115,6264,FALSE,NA,"Farooq Chaychi","GMT+5","en",-18000,473,"farooqchaychi",53.847818,23.424076
"RT @maankhider: In #HumanRightsDay I remind you of the #Yazidi women&amp;girls who are still sex slaves by #ISIS in 21st century https://t.co/l<U+0085>",31,FALSE,FALSE,807674504713338880,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"en",268,FALSE,"<U+65E5><U+672C>(<U+798F><U+5CA1><U+770C>)",265731309,"<U+4ECA><U+306F><U+606F><U+5B50><U+304C><U+5EFA><U+8A2D><U+4F1A><U+793E><U+4EE3><U+8868><U+0085><U+73FE><U+5728><U+306F><U+4F55><U+51E6><U+306B><U+3067><U+3082><U+3044><U+308B><U+3001><U+305F><U+3060><U+306E><U+8001><U+4EBA><U+3001><U+6C17><U+304C><U+5411><U+3044><U+305F><U+6642><U+306B><U+3064><U+3076><U+3084><U+304D><U+307E><U+3059><U+3002><U+826F><U+3044><U+7269><U+306F><U+826F><U+3044><U+99C4><U+76EE><U+306A><U+7269><U+306F><U+99C4><U+76EE><U+3060><U+3068><U+8A00><U+3048><U+306A><U+3044><U+4EBA><U+3068><U+306F><U+8A71><U+306F><U+5408><U+308F><U+306A><U+3044><U+3001><U+610F><U+898B><U+306E><U+9055><U+3044><U+304C><U+6709><U+3063><U+3066><U+3082><U+65E5><U+672C><U+304C><U+597D><U+304D><U+3060><U+304B><U+3089><U+99AC><U+9E7F><U+306A><U+653F><U+6CBB><U+5BB6><U+306B><U+6587><U+53E5><U+306E><U+4E00><U+3064><U+3082><U+8A00><U+3044><U+305F><U+304F><U+306A><U+308B><U+3002>",FALSE,"Mon Mar 14 02:10:08 +0000 2011",101424,2776,28412,FALSE,"http://page.is/shigeru-tachikawa67","shigeru.Tachikawa70","Hawaii","ja",-36000,1005,"0117shigeru",NA,NA
"We are one world, one people. #HumanRightsDay &lt;3 https://t.co/EBIYOq7x7v",0,FALSE,FALSE,807674504898035712,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",FALSE,"Sat Dec 10 19:53:02 +0000 2016",NA,NA,"en",90,FALSE,"Amsterdam",72824069,"Idea Artist, Poet, and Chief Mischief-Maker at Dancing Fox. Insatiably curious. Playful as a Puppy. On the hunt for #Awesomeness (Own Views) <U+52C7><U+661F><U+99AC>",TRUE,"Wed Sep 09 10:48:53 +0000 2009",1222,1667,353,FALSE,"https://about.me/tommytroublescrawford","Tommy Crawford","Amsterdam","en",3600,1876,"theecowarrior",4.8951679,52.3702157
